name	height	mass	hair_color	skin_color	eye_color	birth_year	sex	gender	homeworld_species
Luke Skywalker	172	77	blond	fair	blue	19	male	masculine	Tatooine_Human
C-3PO	167	75	NA	gold	yellow	112	none	masculine	Tatooine_Droid
R2-D2	96	32	NA	white, blue	red	33	none	masculine	Naboo_Droid
Darth Vader	202	136	none	white	yellow	41.9	male	masculine	Tatooine_Human
Leia Organa	150	49	brown	light	brown	19	female	feminine	Alderaan_Human
Owen Lars	178	120	brown, grey	light	blue	52	male	masculine	Tatooine_Human
Beru Whitesun Lars	165	75	brown	light	blue	47	female	feminine	Tatooine_Human
R5-D4	97	32	unknown	white, red	red	NA	none	masculine	Tatooine_Droid
Biggs Darklighter	183	84	black	light	brown	24	male	masculine	Tatooine_Human
Obi-Wan Kenobi	182	77	auburn, white	fair	blue-gray	57	male	masculine	Stewjon_Human
Anakin Skywalker	188	84	blond	fair	blue	41.9	male	masculine	Tatooine_Human
Wilhuff Tarkin	180	NA	auburn, grey	fair	blue	64	male	masculine	Eriadu_Human
Chewbacca	228	112	brown	unknown	blue	200	male	masculine	Kashyyyk_Wookiee
Han Solo	180	80	brown	fair	brown	29	male	masculine	Corellia_Human
Greedo	173	74	NA	green	black	44	male	masculine	Rodia_Rodian
Jabba Desilijic Tiure	175	1358	unknown	green-tan, brown	orange	600	hermaphroditic	masculine	Nal Hutta_Hutt
Wedge Antilles	170	77	brown	fair	hazel	21	male	masculine	Corellia_Human
Jek Tono Porkins	180	110	brown	fair	blue	NA	NA	NA	Bestine IV_NA
Yoda	66	17	white	green	brown	896	male	masculine	NA_Yoda's species
Palpatine	170	75	grey	pale	yellow	82	male	masculine	Naboo_Human
Boba Fett	183	78.2	black	fair	brown	31.5	male	masculine	Kamino_Human
IG-88	200	140	none	metal	red	15	none	masculine	NA_Droid
Bossk	190	113	none	green	red	53	male	masculine	Trandosha_Trandoshan
Lando Calrissian	177	79	black	dark	brown	31	male	masculine	Socorro_Human
Lobot	175	79	none	light	blue	37	male	masculine	Bespin_Human
Ackbar	180	83	none	brown mottle	orange	41	male	masculine	Mon Cala_Mon Calamari
Mon Mothma	150	unknown	auburn	fair	blue	48	female	feminine	Chandrila_Human
Arvel Crynyd	NA	NA	brown	fair	brown	NA	male	masculine	NA_Human
Wicket Systri Warrick	88	20	brown	brown	brown	8	male	masculine	Endor_Ewok
Nien Nunb	160	68	none	grey	black	NA	male	masculine	Sullust_Sullustan
Qui-Gon Jinn	193	89	brown	fair	blue	92	male	masculine	NA_Human
Nute Gunray	191	90	none	mottled green	red	NA	male	masculine	Cato Neimoidia_Neimodian
Finis Valorum	170	NA	blond	fair	blue	91	male	masculine	Coruscant_Human
Padmé Amidala	185	45	brown	light	brown	46	female	feminine	Naboo_Human
Jar Jar Binks	196	66	none	orange	orange	52	male	masculine	Naboo_Gungan
Roos Tarpals	224	82	none	grey	orange	NA	male	masculine	Naboo_Gungan
Rugor Nass	206	NA	none	green	orange	NA	male	masculine	Naboo_Gungan
Ric Olié	183	NA	brown	fair	blue	NA	male	masculine	Naboo_Human
Watto	137	NA	black	blue, grey	yellow	NA	male	masculine	Toydaria_Toydarian
Sebulba	112	40	none	grey, red	orange	NA	male	masculine	Malastare_Dug
Quarsh Panaka	183	NA	black	dark	brown	62	male	masculine	Naboo_Human
Shmi Skywalker	163	NA	black	fair	brown	72	female	feminine	Tatooine_Human
Darth Maul	175	80	none	red	yellow	54	male	masculine	Dathomir_Zabrak
Bib Fortuna	180	NA	none	pale	pink	NA	male	masculine	Ryloth_Twi'lek
Ayla Secura	178	55	none	blue	hazel	48	female	feminine	Ryloth_Twi'lek
Ratts Tyerel	79	15	none	grey, blue	unknown	NA	male	masculine	Aleen Minor_Aleena
Dud Bolt	94	45	none	blue, grey	yellow	NA	male	masculine	Vulpter_Vulptereen
Gasgano	122	NA	none	white, blue	black	NA	male	masculine	Troiken_Xexto
Ben Quadinaros	163	65	none	grey, green, yellow	orange	NA	male	masculine	Tund_Toong
Mace Windu	188	84	none	dark	brown	72	male	masculine	Haruun Kal_Human
Ki-Adi-Mundi	198	82	white	pale	yellow	92	male	masculine	Cerea_Cerean
Kit Fisto	196	87	none	green	black	NA	male	masculine	Glee Anselm_Nautolan
Eeth Koth	171	NA	black	brown	brown	NA	male	masculine	Iridonia_Zabrak
Adi Gallia	184	50	none	dark	blue	NA	female	feminine	Coruscant_Tholothian
Saesee Tiin	188	NA	none	pale	orange	NA	male	masculine	Iktotch_Iktotchi
Yarael Poof	264	NA	none	white	yellow	NA	male	masculine	Quermia_Quermian
Plo Koon	188	80	none	orange	black	22	male	masculine	Dorin_Kel Dor
Mas Amedda	196	NA	none	blue	blue	NA	male	masculine	Champala_Chagrian
Gregar Typho	185	85	black	dark	brown	NA	NA	NA	Naboo_NA
Cordé	157	NA	brown	light	brown	NA	NA	NA	Naboo_NA
Cliegg Lars	183	NA	brown	fair	blue	82	male	masculine	Tatooine_Human
Poggle the Lesser	183	80	none	green	yellow	NA	male	masculine	Geonosis_Geonosian
Luminara Unduli	170	56.2	black	yellow	blue	58	female	feminine	Mirial_Mirialan
Barriss Offee	166	50	black	yellow	blue	40	female	feminine	Mirial_Mirialan
Dormé	165	NA	brown	light	brown	NA	female	feminine	Naboo_Human
Dooku	193	80	white	fair	brown	102	male	masculine	Serenno_Human
Bail Prestor Organa	191	NA	black	tan	brown	67	male	masculine	Alderaan_Human
Jango Fett	183	79	black	tan	brown	66	male	masculine	Concord Dawn_Human
Zam Wesell	168	55	blonde	fair, green, yellow	yellow	NA	female	feminine	Zolan_Clawdite
Dexter Jettster	198	102	none	brown	yellow	NA	male	masculine	Ojom_Besalisk
Lama Su	229	88	none	grey	black	NA	male	masculine	Kamino_Kaminoan
Taun We	213	NA	none	grey	black	NA	female	feminine	Kamino_Kaminoan
Jocasta Nu	167	NA	white	fair	blue	NA	female	feminine	Coruscant_Human
R4-P17	96	NA	none	silver, red	red, blue	NA	none	feminine	NA_Droid
Wat Tambor	193	48	none	green, grey	unknown	NA	male	masculine	Skako_Skakoan
San Hill	191	NA	none	grey	gold	NA	male	masculine	Muunilinst_Muun
Shaak Ti	178	57	none	red, blue, white	black	NA	female	feminine	Shili_Togruta
Grievous	216	159	none	brown, white	green, yellow	NA	male	masculine	Kalee_Kaleesh
Tarfful	234	136	brown	brown	blue	NA	male	masculine	Kashyyyk_Wookiee
Raymus Antilles	188	79	brown	light	brown	NA	male	masculine	Alderaan_Human
Sly Moore	178	48	none	pale	white	NA	NA	NA	Umbara_NA
Tion Medon	206	80	none	grey	black	NA	male	masculine	Utapau_Pau'an
Finn	NA	NA	black	dark	dark	NA	male	masculine	NA_Human
Rey	NA	NA	brown	light	hazel	NA	female	feminine	NA_Human
Poe Dameron	NA	NA	brown	light	brown	NA	male	masculine	NA_Human
BB8	NA	NA	none	none	black	NA	none	masculine	NA_Droid
Captain Phasma	NA	NA	none	none	unknown	NA	female	feminine	NA_Human
